Source;Target
ITALY;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
TURKEY;IA: Arquiteturas e Metodos
CHINA;Clima, Solo e Meio Ambiente
INDIA;Ruido
SINGAPORE;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
HUNGARY;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
AUSTRIA;Assistencia Virtual e Educacao
YEMEN;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHILE;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CAMEROON;Assistencia Virtual e Educacao
SWEDEN;Assistencia Virtual e Educacao
RUSSIA;Mercado Risco e Previsao
JAPAN;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ETHIOPIA;Recursos Hidricos
ENGLAND;IA: Arquiteturas e Metodos
FINLAND;IA: Arquiteturas e Metodos
GERMANY;Ruido
USA;Ruido
CHINA;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
ITALY;Assistencia Virtual e Educacao
NIGERIA;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Assistencia Virtual e Educacao
MALAYSIA;Diagnostico e Protecao Fitossanitaria
GERMANY;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
JAPAN;Mercado Risco e Previsao
THAILAND;IA: Arquiteturas e Metodos
GERMANY;Governanca, Gestao e Impacto Social
CHINA;Mercado Risco e Previsao
CHINA;IA: Arquiteturas e Metodos
USA;Assistencia Virtual e Educacao
INDONESIA;Clima, Solo e Meio Ambiente
GERMANY;Cadeia Produtiva e Qualidade
CHINA;Robotica e Mecanizacao
USA;Ruido
TUNISIA;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
JAPAN;Ruido
FINLAND;Ruido
NETHERLANDS;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
USA;Ruido
KENYA;Ruido
IRAN;Clima, Solo e Meio Ambiente
CHINA;Assistencia Virtual e Educacao
GREECE;Ruido
INDIA;Ruido
RUSSIA;Ruido
SCOTLAND;Assistencia Virtual e Educacao
JAPAN;Ruido
INDIA;Ruido
LITHUANIA;Ruido
FRANCE;IoT e Sensores
NIGERIA;Ruido
KAZAKHSTAN;Assistencia Virtual e Educacao
SUDAN;IA: Arquiteturas e Metodos
USA;IA: Arquiteturas e Metodos
SWEDEN;Diagnostico e Protecao Fitossanitaria
ENGLAND;Assistencia Virtual e Educacao
MOROCCO;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
ITALY;Diagnostico e Protecao Fitossanitaria
INDIA;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Mercado Risco e Previsao
ENGLAND;Assistencia Virtual e Educacao
TAIWAN;Assistencia Virtual e Educacao
SCOTLAND;Assistencia Virtual e Educacao
MOROCCO;Ruido
USA;Ruido
THAILAND;Diagnostico e Protecao Fitossanitaria
EGYPT;Ruido
IRAQ;Agricultura de Precisao e Cultivo
NIGERIA;Ruido
CHINA;Clima, Solo e Meio Ambiente
FRANCE;Ruido
USA;Ruido
ENGLAND;Assistencia Virtual e Educacao
POLAND;Ruido
KOREA;Assistencia Virtual e Educacao
PAKISTAN;Ruido
TURKIYE;Assistencia Virtual e Educacao
CHINA;Ruido
CHINA;Visao Computacional e Fenotipagem
SPAIN;Robotica e Mecanizacao
KOREA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
TAIWAN;IoT e Sensores
SPAIN;Assistencia Virtual e Educacao
MEXICO;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
INDIA;IA: Arquiteturas e Metodos
DENMARK;Assistencia Virtual e Educacao
HUNGARY;Assistencia Virtual e Educacao
JORDAN;Mercado Risco e Previsao
POLAND;IoT e Sensores
JAPAN;Assistencia Virtual e Educacao
AUSTRALIA;IoT e Sensores
JAPAN;Assistencia Virtual e Educacao
RUSSIA;IA: Arquiteturas e Metodos
AFRICA;Clima, Solo e Meio Ambiente
CHINA;Assistencia Virtual e Educacao
QATAR;Assistencia Virtual e Educacao
GREECE;Robotica e Mecanizacao
BRAZIL;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
BANGLADESH;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
NETHERLANDS;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
BRAZIL;IoT e Sensores
MEXICO;Mercado Risco e Previsao
ECUADOR;Assistencia Virtual e Educacao
DENMARK;Assistencia Virtual e Educacao
SPAIN;Mercado Risco e Previsao
FRANCE;Recursos Hidricos
MEXICO;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
CANADA;Mercado Risco e Previsao
ENGLAND;Cadeia Produtiva e Qualidade
COLOMBIA;Mercado Risco e Previsao
GREECE;Mercado Risco e Previsao
CANADA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
MALAYSIA;Diagnostico e Protecao Fitossanitaria
BELGIUM;Ruido
INDIA;Ruido
FINLAND;Ruido
USA;Diagnostico e Protecao Fitossanitaria
LITHUANIA;Clima, Solo e Meio Ambiente
CANADA;Ruido
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Ruido
BRAZIL;Agricultura de Precisao e Cultivo
CHINA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
NETHERLANDS;Assistencia Virtual e Educacao
VIETNAM;Assistencia Virtual e Educacao
POLAND;Robotica e Mecanizacao
ARABIA;Assistencia Virtual e Educacao
USA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
AUSTRALIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
BRAZIL;Agricultura de Precisao e Cultivo
NIGERIA;Assistencia Virtual e Educacao
ENGLAND;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
RUSSIA;Mercado Risco e Previsao
MALAYSIA;Governanca, Gestao e Impacto Social
GERMANY;Assistencia Virtual e Educacao
TAIWAN;Assistencia Virtual e Educacao
AUSTRIA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
EGYPT;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
CHINA;Mercado Risco e Previsao
CHINA;Robotica e Mecanizacao
BRAZIL;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
NETHERLANDS;Assistencia Virtual e Educacao
AUSTRALIA;Robotica e Mecanizacao
INDIA;Ruido
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
MALAYSIA;Cadeia Produtiva e Qualidade
QATAR;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
FRANCE;Assistencia Virtual e Educacao
NORWAY;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
SPAIN;Visao Computacional e Fenotipagem
INDIA;Governanca, Gestao e Impacto Social
INDIA;Cadeia Produtiva e Qualidade
INDIA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
TURKIYE;Cadeia Produtiva e Qualidade
NIGERIA;Assistencia Virtual e Educacao
IRAN;Visao Computacional e Fenotipagem
IRAN;Recursos Hidricos
GREECE;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
GREECE;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
INDIA;Cadeia Produtiva e Qualidade
USA;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
GERMANY;Mercado Risco e Previsao
TAIWAN;Diagnostico e Protecao Fitossanitaria
USA;Diagnostico e Protecao Fitossanitaria
PERU;Assistencia Virtual e Educacao
SYRIA;Clima, Solo e Meio Ambiente
BELGIUM;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
REP;Ruido
PAKISTAN;Assistencia Virtual e Educacao
IRAN;Governanca, Gestao e Impacto Social
ITALY;Ruido
USA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
PORTUGAL;Assistencia Virtual e Educacao
EMIRATES;Clima, Solo e Meio Ambiente
BRAZIL;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
BELGIUM;Visao Computacional e Fenotipagem
MEXICO;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
MEXICO;Clima, Solo e Meio Ambiente
USA;Assistencia Virtual e Educacao
FRANCE;Recursos Hidricos
ZEALAND;Clima, Solo e Meio Ambiente
NETHERLANDS;Assistencia Virtual e Educacao
USA;Robotica e Mecanizacao
INDIA;Visao Computacional e Fenotipagem
TAIWAN;IA: Arquiteturas e Metodos
IRAN;Assistencia Virtual e Educacao
GERMANY;Cadeia Produtiva e Qualidade
RUSSIA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
Nao Informado;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
ZEALAND;Assistencia Virtual e Educacao
QATAR;Mercado Risco e Previsao
AFRICA;Recursos Hidricos
CHINA;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
PALESTINE;Mercado Risco e Previsao
INDIA;Ruido
INDIA;Diagnostico e Protecao Fitossanitaria
TURKIYE;Assistencia Virtual e Educacao
ITALY;Clima, Solo e Meio Ambiente
PAKISTAN;Ruido
TAIWAN;Assistencia Virtual e Educacao
RUSSIA;IA: Arquiteturas e Metodos
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
SWEDEN;Cadeia Produtiva e Qualidade
INDIA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
FRANCE;Diagnostico e Protecao Fitossanitaria
BRAZIL;Ruido
FRANCE;Clima, Solo e Meio Ambiente
LUXEMBOURG;Assistencia Virtual e Educacao
TAIWAN;Recursos Hidricos
GERMANY;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Assistencia Virtual e Educacao
BRAZIL;Ruido
CHINA;Assistencia Virtual e Educacao
USA;Cadeia Produtiva e Qualidade
NETHERLANDS;Robotica e Mecanizacao
JORDAN;Ruido
TURKIYE;Cadeia Produtiva e Qualidade
ENGLAND;Diagnostico e Protecao Fitossanitaria
NIGERIA;Diagnostico e Protecao Fitossanitaria
INDIA;Ruido
INDIA;Ruido
USA;Mercado Risco e Previsao
EGYPT;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
INDIA;Ruido
INDIA;Ruido
NORWAY;Recursos Hidricos
TAIWAN;Diagnostico e Protecao Fitossanitaria
CHINA;Visao Computacional e Fenotipagem
PAKISTAN;Ruido
RUSSIA;Ruido
DENMARK;Diagnostico e Protecao Fitossanitaria
PHILIPPINES;Ruido
USA;IA: Arquiteturas e Metodos
CHINA;IoT e Sensores
USA;Ruido
USA;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
INDIA;Ruido
BRAZIL;IA: Arquiteturas e Metodos
INDIA;Diagnostico e Protecao Fitossanitaria
INDIA;Ruido
AUSTRALIA;Ruido
INDIA;Ruido
CANADA;Assistencia Virtual e Educacao
USA;Visao Computacional e Fenotipagem
BANGLADESH;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
ETHIOPIA;Governanca, Gestao e Impacto Social
EMIRATES;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
POLAND;IA: Arquiteturas e Metodos
POLAND;Diagnostico e Protecao Fitossanitaria
CANADA;Mercado Risco e Previsao
ECUADOR;Assistencia Virtual e Educacao
USA;Robotica e Mecanizacao
EGYPT;Diagnostico e Protecao Fitossanitaria
ZEALAND;Clima, Solo e Meio Ambiente
CHINA;Assistencia Virtual e Educacao
KOREA;Cadeia Produtiva e Qualidade
CHINA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
BRAZIL;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
KOREA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
PAKISTAN;IA: Arquiteturas e Metodos
CHINA;Mercado Risco e Previsao
INDIA;Diagnostico e Protecao Fitossanitaria
MN;Ruido
IRELAND;Diagnostico e Protecao Fitossanitaria
KOREA;Clima, Solo e Meio Ambiente
POLAND;Visao Computacional e Fenotipagem
KOREA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
FRANCE;Mercado Risco e Previsao
BRAZIL;Robotica e Mecanizacao
BRAZIL;Agricultura de Precisao e Cultivo
INDIA;Assistencia Virtual e Educacao
BRAZIL;Mercado Risco e Previsao
CHINA;Mercado Risco e Previsao
ITALY;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
CHINA;Agricultura de Precisao e Cultivo
TUNISIA;Assistencia Virtual e Educacao
INDONESIA;Recursos Hidricos
SWITZERLAND;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
ITALY;Ruido
PAKISTAN;Mercado Risco e Previsao
ENGLAND;Robotica e Mecanizacao
GERMANY;Mercado Risco e Previsao
SPAIN;Robotica e Mecanizacao
ENGLAND;IA: Arquiteturas e Metodos
POLAND;Diagnostico e Protecao Fitossanitaria
BRAZIL;Ruido
ENGLAND;Mercado Risco e Previsao
GREECE;Ruido
ITALY;Diagnostico e Protecao Fitossanitaria
RUSSIA;Ruido
RUSSIA;Ruido
BRAZIL;Governanca, Gestao e Impacto Social
ENGLAND;Ruido
INDIA;Assistencia Virtual e Educacao
COLOMBIA;Ruido
JAPAN;Ruido
JAPAN;Ruido
INDIA;Ruido
KOREA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
INDIA;Clima, Solo e Meio Ambiente
TANZANIA;Assistencia Virtual e Educacao
GREECE;Diagnostico e Protecao Fitossanitaria
RUSSIA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
MACEDONIA;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
IRAN;Recursos Hidricos
NETHERLANDS;Cadeia Produtiva e Qualidade
EGYPT;IA: Arquiteturas e Metodos
ECUADOR;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
BRAZIL;Mercado Risco e Previsao
RUSSIA;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;IA: Arquiteturas e Metodos
INDIA;Diagnostico e Protecao Fitossanitaria
PAKISTAN;Assistencia Virtual e Educacao
TURKIYE;Visao Computacional e Fenotipagem
KOREA;Assistencia Virtual e Educacao
ETHIOPIA;Recursos Hidricos
IRAN;Visao Computacional e Fenotipagem
KENYA;Assistencia Virtual e Educacao
SWEDEN;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
ENGLAND;IoT e Sensores
KOREA;Assistencia Virtual e Educacao
NETHERLANDS;Visao Computacional e Fenotipagem
CAMEROON;Diagnostico e Protecao Fitossanitaria
CHINA;Diagnostico e Protecao Fitossanitaria
PAKISTAN;Ruido
USA;Diagnostico e Protecao Fitossanitaria
LITHUANIA;Ruido
BANGLADESH;Ruido
LITHUANIA;Diagnostico e Protecao Fitossanitaria
POLAND;Diagnostico e Protecao Fitossanitaria
USA;Clima, Solo e Meio Ambiente
FINLAND;Diagnostico e Protecao Fitossanitaria
INDIA;Ruido
INDIA;Ruido
RUSSIA;Mercado Risco e Previsao
LANKA;Diagnostico e Protecao Fitossanitaria
TAIWAN;Ruido
GERMANY;Clima, Solo e Meio Ambiente
SCOTLAND;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;Clima, Solo e Meio Ambiente
PORTUGAL;Cadeia Produtiva e Qualidade
COLOMBIA;Assistencia Virtual e Educacao
ALGERIA;Clima, Solo e Meio Ambiente
JORDAN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDONESIA;Agricultura de Precisao e Cultivo
IRAN;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
PORTUGAL;Clima, Solo e Meio Ambiente
INDIA;Mercado Risco e Previsao
NETHERLANDS;Assistencia Virtual e Educacao
BRAZIL;IA: Arquiteturas e Metodos
SPAIN;Diagnostico e Protecao Fitossanitaria
GREECE;Assistencia Virtual e Educacao
SPAIN;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
KOREA;Agricultura de Precisao e Cultivo
PHILIPPINES;Assistencia Virtual e Educacao
BELGIUM;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
USA;IoT e Sensores
CHINA;Assistencia Virtual e Educacao
NORWAY;Assistencia Virtual e Educacao
USA;Visao Computacional e Fenotipagem
CHINA;Mercado Risco e Previsao
CANADA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ROMANIA;Robotica e Mecanizacao
FRANCE;Robotica e Mecanizacao
CHINA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
RUSSIA;Assistencia Virtual e Educacao
ARABIA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
RUSSIA;Mercado Risco e Previsao
QATAR;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
CHINA;Robotica e Mecanizacao
USA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
MOROCCO;Assistencia Virtual e Educacao
IRELAND;Assistencia Virtual e Educacao
TAIWAN;Clima, Solo e Meio Ambiente
SCOTLAND;Assistencia Virtual e Educacao
SPAIN;IA: Arquiteturas e Metodos
SPAIN;Assistencia Virtual e Educacao
ROMANIA;Cadeia Produtiva e Qualidade
SPAIN;Assistencia Virtual e Educacao
CYPRUS;IoT e Sensores
CHINA;IA: Arquiteturas e Metodos
TAIWAN;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
MALAYSIA;Mercado Risco e Previsao
CANADA;Visao Computacional e Fenotipagem
Nao Informado;Robotica e Mecanizacao
HUNGARY;Ruido
INDIA;Ruido
INDIA;Cadeia Produtiva e Qualidade
INDIA;Mercado Risco e Previsao
INDONESIA;Ruido
SWITZERLAND;Ruido
INDIA;Diagnostico e Protecao Fitossanitaria
CHINA;Ruido
INDIA;Ruido
USA;Ruido
RUSSIA;Mercado Risco e Previsao
RICA;Diagnostico e Protecao Fitossanitaria
GREECE;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
IRELAND;Assistencia Virtual e Educacao
SALVADOR;Ruido
INDIA;Ruido
COLOMBIA;Ruido
INDIA;Ruido
AFRICA;Ruido
BRAZIL;Ruido
SPAIN;Ruido
JAPAN;Ruido
ENGLAND;Ruido
ITALY;Ruido
AUSTRALIA;Ruido
SUDAN;Assistencia Virtual e Educacao
KOREA;Robotica e Mecanizacao
CANADA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
CHINA;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Ruido
RUSSIA;Mercado Risco e Previsao
FRANCE;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
CHINA;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
BELGIUM;Diagnostico e Protecao Fitossanitaria
MD;Ruido
MEXICO;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;Recursos Hidricos
CHINA;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
ENGLAND;Mercado Risco e Previsao
HUNGARY;Governanca, Gestao e Impacto Social
TURKEY;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
MAURITIUS;IA: Arquiteturas e Metodos
MOROCCO;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
GERMANY;IA: Arquiteturas e Metodos
NETHERLANDS;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
GERMANY;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
Nao Informado;Clima, Solo e Meio Ambiente
AUSTRALIA;Assistencia Virtual e Educacao
INDIA;Ruido
INDIA;Ruido
USA;Assistencia Virtual e Educacao
CHINA;IoT e Sensores
NETHERLANDS;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
IRELAND;Assistencia Virtual e Educacao
GABON;Ruido
KOREA;Visao Computacional e Fenotipagem
KOREA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
IRELAND;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ITALY;Visao Computacional e Fenotipagem
GERMANY;Assistencia Virtual e Educacao
TAIWAN;Assistencia Virtual e Educacao
EMIRATES;Assistencia Virtual e Educacao
BRAZIL;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ARABIA;IA: Arquiteturas e Metodos
TURKIYE;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
VIETNAM;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
PHILIPPINES;Assistencia Virtual e Educacao
NORWAY;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
AUSTRIA;Assistencia Virtual e Educacao
ENGLAND;Assistencia Virtual e Educacao
HUNGARY;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
ITALY;Visao Computacional e Fenotipagem
MEXICO;Assistencia Virtual e Educacao
EGYPT;Assistencia Virtual e Educacao
FRANCE;Clima, Solo e Meio Ambiente
ITALY;IA: Arquiteturas e Metodos
SLOVENIA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
GERMANY;IA: Arquiteturas e Metodos
ENGLAND;Assistencia Virtual e Educacao
MEXICO;Robotica e Mecanizacao
AUSTRALIA;Assistencia Virtual e Educacao
ZEALAND;Cadeia Produtiva e Qualidade
IRAN;Clima, Solo e Meio Ambiente
AUSTRALIA;Assistencia Virtual e Educacao
IRAQ;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
TAIWAN;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
CANADA;Diagnostico e Protecao Fitossanitaria
USA;Cadeia Produtiva e Qualidade
SPAIN;Assistencia Virtual e Educacao
USA;Ruido
ROMANIA;Mercado Risco e Previsao
CHINA;IA: Arquiteturas e Metodos
INDONESIA;IoT e Sensores
KOREA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ROMANIA;Clima, Solo e Meio Ambiente
TANZANIA;Assistencia Virtual e Educacao
TAIWAN;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
IRAN;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
COLOMBIA;Assistencia Virtual e Educacao
INDIA;Ruido
THAILAND;Assistencia Virtual e Educacao
LANKA;Ruido
ARABIA;Ruido
AUSTRALIA;Ruido
GERMANY;Diagnostico e Protecao Fitossanitaria
FRANCE;Ruido
INDIA;Ruido
USA;Assistencia Virtual e Educacao
IRAN;Ruido
USA;Ruido
PAKISTAN;Ruido
INDIA;Ruido
SPAIN;Ruido
NETHERLANDS;Ruido
CHINA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
AUSTRALIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
MOROCCO;Governanca, Gestao e Impacto Social
TANZANIA;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
GERMANY;Diagnostico e Protecao Fitossanitaria
MALAYSIA;Visao Computacional e Fenotipagem
INDIA;Assistencia Virtual e Educacao
PAKISTAN;IA: Arquiteturas e Metodos
CHINA;IA: Arquiteturas e Metodos
CHINA;Mercado Risco e Previsao
CHINA;IA: Arquiteturas e Metodos
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
NORWAY;Recursos Hidricos
ALGERIA;Assistencia Virtual e Educacao
ARABIA;IA: Arquiteturas e Metodos
PORTUGAL;Assistencia Virtual e Educacao
TAIWAN;Diagnostico e Protecao Fitossanitaria
EGYPT;Recursos Hidricos
INDIA;Mercado Risco e Previsao
CHINA;Cadeia Produtiva e Qualidade
JAPAN;Assistencia Virtual e Educacao
GREECE;Diagnostico e Protecao Fitossanitaria
SPAIN;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
BRAZIL;Mercado Risco e Previsao
EGYPT;IA: Arquiteturas e Metodos
USA;Clima, Solo e Meio Ambiente
NIGERIA;Clima, Solo e Meio Ambiente
PORTUGAL;Clima, Solo e Meio Ambiente
FRANCE;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
SCOTLAND;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
VIETNAM;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
INDIA;Governanca, Gestao e Impacto Social
BRAZIL;Cadeia Produtiva e Qualidade
CHINA;Clima, Solo e Meio Ambiente
CHINA;Mercado Risco e Previsao
IRAN;Assistencia Virtual e Educacao
